Requirement_ID,Requirement_Source_Version,Linked_Risk_or_Stakeholder,Acceptance_Basis,Planned_Test_Level,Planned_Evidence,Evidence_Status,Owner,Open_Issue_or_Next_Action
REQ-01 (FR-ANALYSIS-02),SRS v1.0 Sec 2.3 + W03 revised wording,"C-01, QR-01, ST01-ST03","Component functional test ต่อภาพ: AC-R1-01 ถึง AC-R1-04 (forgery_confidence/ai_gen_confidence 0-100, visual_score ตรงสูตร ±1, inference <= 10s GPU)",Component,Component test case set + results ของ AC-R1-01 ถึง AC-R1-04,Planned,ภานุวัฒน์,Q-01a threshold และ Q-01b generator scope ต้องตัดสินภายใน Week 05 ก่อนออกแบบ test case
REQ-01+REQ-02 (FR-ANALYSIS-02 x NFR-05),SRS v1.0 Sec 3 NFR-05 + W03 revised wording,"C-01, QR-01, ST01-ST03",Dataset-level metrics: AC-R2-01 ถึง AC-R2-05 (Accuracy/Precision/Recall/F1 >= 85% บน Testing Set 1000 ภาพ + hash check),System,Model evaluation report (Confusion Matrix + Classification Report) จาก .onnx artifact,Not Ready,ภานุวัฒน์,Blocker: model training ยังไม่เสร็จ (W02 Gate C) และ Q-02 composition ของ Testing Set ยังไม่ตัดสิน
REQ-01 (FR-ANALYSIS-02),SRS v1.0 Sec 2.3,C-01/QR-01 governance,Decision record ของ Q-01 (decision threshold ต่อภาพ + scope AI generators),Review,Decision record Q-01 แนบใน SRS v1.1 change log,Planned,ภานุวัฒน์,ตัดสินภายใน Week 05 หรือก่อน model evaluation อย่างช้า
REQ-02 (NFR-05),SRS v1.0 Sec 3,C-01/QR-01 verification question 3,Dataset specification ที่ตอบ Q-02 + hash comparison record ของ .onnx (AC-R2-05),Review,Dataset spec document + hash comparison record,Planned,ภานุวัฒน์,ทำหลัง Q-02 ตัดสิน และหลังมี .onnx export แรก
REQ-03 (FR-XAI-01),SRS v1.0 Sec 2.4 + W03 revised wording,"C-02, C-04, QR-02, ST01, ST03",Heatmap generation + access control: AC-R3-01 และ AC-R3-05 (signed URL + expiry -> 401/403) + validation heatmap vs ground-truth mask,Integration,API test ของ heatmap_url + signed URL expiry test + ภาพเปรียบเทียบ mask,Not Ready,ภานุวัฒน์,Blocker: Q-03a XAI method (Grad-CAM infeasible ตาม wording เดิม) Q-03b no-region behavior Q-03c signed URL Q-04 retention
REQ-03 (FR-XAI-01),SRS v1.0 Sec 2.4 AC-2 ถึง AC-4 + design_mobile.md HeatmapViewerScreen,"C-02, C-08, QR-02, ST01","Mobile UI: AC-R3-02 (toggle on/off) AC-R3-03 (opacity slider boundary 0%/50%/100%) AC-R3-04 (no-region case)",Component,Android UI test report ของ HeatmapViewerScreen,Planned,เอกพันธ์,UI test ออกแบบได้แล้วสำหรับ AC-R3-02/03 ส่วน AC-R3-04 รอ Q-03b
REQ-04 (NFR-01),SRS v1.0 Sec 3 NFR-01 + W03 revised wording,"C-03, C-06, QR-03, ST01",Performance baseline: AC-R4-01 (cache hit P95 <= 3s) และ AC-R4-02 (P50 <= 15s P95 <= 25s P99 <= 35s) ภายใต้เงื่อนไข single-user n >= 100 T4,System,Performance test report percentile table (JMeter/Locust),Not Ready,ภานุวัฒน์,Blocker: backend + Redis cache + AI service ยังพัฒนาไม่เสร็จ (W01 QR-03) และ Q-05 measurement conditions ยังไม่ยืนยัน
REQ-04 (NFR-01),SRS v1.0 Sec 3 NFR-01 AC-3/AC-4 + FR-ANALYSIS-03 AC-4,"C-03, C-06, QR-03",Fallback behavior: AC-R4-03 (CPU mode เฉลี่ย <= 60s + UI message ใน 5s) และ AC-R4-04 (Google Vision down -> source_score 50 end-to-end ยังอยู่ในเป้า),System,Chaos/fallback test log (จำลอง GPU disable และ HTTP 503),Planned,ภานุวัฒน์,Trigger condition (health check fail > 30s) รอยืนยัน Q-05 ก่อนเขียน chaos script
REQ-05 (FR-PDPA-01),SRS v1.0 Sec 2.6 + W03 revised wording,"C-04, QR-04, ST01",Consent API: AC-R5-01 ถึง AC-R5-05 (consent screen + logs + revoke research + audit trail + system consent reject),Component,API test suite ของ consent endpoints (AC-R5-01 ถึง AC-R5-05),Planned,ภานุวัฒน์,ออกแบบ test case ได้ทันที ยกเว้นผลกระทบ retroactive ของ AC-R5-03 ที่รอ Q-06
REQ-05 (FR-PDPA-01),SRS v1.0 Sec 2.6,C-04 compliance evidence,Audit trail + PDPA decision: AC-R5-04 (GET /consent/logs ครบทุก event) + decision record Q-06,Review,DB snapshot ของ consent_logs + decision record Q-06 พร้อมผลกระทบต่อ FR-ADMIN-02,Planned,ภานุวัฒน์,ปรึกษาอาจารย์ที่ปรึกษาเรื่อง retroactive handling ก่อน implement admin approve flow
